No,Name,Country,Age,Role,T20_Caps,IPL_Matches,2024_Team,Status,Reserve_Price_Lakh,battingStyle,bowlingStyle,image,matches,runs,wickets,average,strikeRate
1,MS Dhoni,IND,42,WK/BAT,98,264,CSK,UNCAPPED,200,,,,,,,
2,Rohit Sharma,IND,38,BAT,159,257,MI,CAPPED,200,,,,,,,
3,Jasprit Bumrah,IND,31,SEAM,70,133,MI,CAPPED,200,,,,,,,
4,Virat Kohli,IND,36,BAT,125,252,RCB,CAPPED,200,,,,,,,
5,Ruturaj Gaikwad,IND,28,BAT,23,66,CSK,CAPPED,200,,,,,,,
6,Rahul Tripathi,IND,33,BAT,5,95,SRH,CAPPED,50,,,,,,,
7,Shivam Dube,IND,31,BAT/SEAM,34,65,CSK,CAPPED,150,,,,,,,
8,Ravindra Jadeja,IND,35,BAT/SPIN,74,240,CSK,CAPPED,200,,,,,,,
9,Ravichandran Ashwin,IND,38,BAT/SPIN,65,211,RR,CAPPED,200,,,,,,,
10,Yashasvi Jaiswal,IND,23,BAT,23,52,RR,CAPPED,200,,,,,,,
11,Sanju Samson,IND,31,WK/BAT,41,167,RR,CAPPED,200,,,,,,,
12,Riyan Parag,IND,23,BAT/SPIN,9,70,RR,CAPPED,150,,,,,,,
13,Ajinkya Rahane,IND,36,BAT,20,185,CSK,UNCAPPED,100,,,,,,,
14,Rinku Singh,IND,27,BAT,32,45,KKR,CAPPED,200,,,,,,,
15,Venkatesh Iyer,IND,30,BAT/SEAM,9,50,KKR,CAPPED,200,,,,,,,
16,Varun Chakravarthy,IND,33,SPIN,18,20,KKR,CAPPED,200,,,,,,,
17,Harshit Rana,IND,23,SEAM,1,20,KKR,CAPPED,150,,,,,,,
18,Nitish Kumar Reddy,IND,21,BAT/SEAM,4,15,SRH,CAPPED,150,,,,,,,
19,Abhishek Sharma,IND,24,BAT/SPIN,16,63,SRH,CAPPED,150,,,,,,,
20,Ishan Kishan,IND,26,WK/BAT,32,105,MI,CAPPED,200,,,,,,,
21,Mohammed Shami,IND,34,SEAM,24,110,GT,CAPPED,200,,,,,,,
22,Harshal Patel,IND,34,SEAM,25,106,PBKS,CAPPED,150,,,,,,,
23,Rahul Chahar,IND,25,SPIN,6,78,PBKS,CAPPED,100,,,,,,,
24,Rajat Patidar,IND,31,BAT,0,27,RCB,UNCAPPED,100,,,,,,,
25,Devdutt Padikkal,IND,24,BAT,2,64,LSG,CAPPED,100,,,,,,,
26,Krunal Pandya,IND,33,BAT/SPIN,19,127,LSG,CAPPED,150,,,,,,,
27,Jitesh Sharma,IND,31,WK/BAT,9,40,PBKS,CAPPED,100,,,,,,,
28,Bhuvneshwar Kumar,IND,34,SEAM,87,176,SRH,CAPPED,200,,,,,,,
29,Axar Patel,IND,31,SPIN/BAT,70,150,DC,CAPPED,200,,,,,,,
30,KL Rahul,IND,32,WK/BAT,72,132,LSG,CAPPED,200,,,,,,,
31,Kuldeep Yadav,IND,30,SPIN,40,84,DC,CAPPED,200,,,,,,,
32,T Natarajan,IND,33,SEAM,4,61,SRH,CAPPED,150,,,,,,,
33,Mukesh Kumar,IND,31,SEAM,17,20,DC,CAPPED,150,,,,,,,
34,Mohit Sharma,IND,36,SEAM,8,112,GT,UNCAPPED,100,,,,,,,
35,Shreyas Iyer,IND,30,BAT,51,115,KKR,CAPPED,200,,,,,,,
36,Arshdeep Singh,IND,25,SEAM,63,65,PBKS,CAPPED,200,,,,,,,
37,Prabhsimran Singh,IND,24,WK/BAT,0,34,PBKS,UNCAPPED,100,,,,,,,
38,Nehal Wadhera,IND,24,BAT,0,20,MI,UNCAPPED,100,,,,,,,
39,Shashank Singh,IND,33,BAT,0,24,PBKS,UNCAPPED,100,,,,,,,
40,Vishnu Vinod,IND,31,WK/BAT,0,6,MI,UNCAPPED,100,,,,,,,
41,Yuzvendra Chahal,IND,34,SPIN,80,160,RR,CAPPED,200,,,,,,,
42,Vijayakumar Vyshak,IND,28,SEAM,0,11,RCB,UNCAPPED,100,,,,,,,
43,Sai Sudharsan,IND,23,BAT/SPIN,1,25,GT,CAPPED,100,,,,,,,
44,Shubman Gill,IND,25,BAT,21,103,GT,CAPPED,200,,,,,,,
45,Shahrukh Khan,IND,29,BAT/SEAM,0,40,GT,UNCAPPED,150,,,,,,,
46,Rahul Tewatia,IND,31,BAT/SPIN,0,93,GT,UNCAPPED,150,,,,,,,
47,Sai Kishore,IND,28,SPIN,3,10,GT,CAPPED,100,,,,,,,
48,Jayant Yadav,IND,35,SPIN,0,20,GT,UNCAPPED,100,,,,,,,
49,Mahipal Lomror,IND,25,BAT,0,40,RCB,UNCAPPED,100,,,,,,,
50,Washington Sundar,IND,25,SPIN/BAT,54,60,SRH,CAPPED,200,,,,,,,
51,Ishant Sharma,IND,36,SEAM,14,110,DC,UNCAPPED,150,,,,,,,
52,Prasidh Krishna,IND,28,SEAM,5,51,RR,CAPPED,150,,,,,,,
53,Mohammed Siraj,IND,30,SEAM,16,93,RCB,CAPPED,150,,,,,,,
54,Ayush Badoni,IND,25,BAT,0,42,LSG,UNCAPPED,100,,,,,,,
55,Abdul Samad,IND,23,BAT/SPIN,0,50,SRH,UNCAPPED,100,,,,,,,
56,Shahbaz Ahmed,IND,30,BAT/SPIN,2,55,SRH,CAPPED,100,,,,,,,
57,RS Hangargekar,IND,22,BAT/SEAM,0,2,CSK,UNCAPPED,50,,,,,,,
58,Rishabh Pant,IND,27,WK/BAT,76,111,DC,CAPPED,200,,,,,,,
59,Ravi Bishnoi,IND,24,SPIN,42,66,LSG,CAPPED,150,,,,,,,
60,Mayank Yadav,IND,22,SEAM,3,4,LSG,CAPPED,100,,,,,,,
61,Akash Deep,IND,28,SEAM,0,8,RCB,UNCAPPED,100,,,,,,,
62,Avesh Khan,IND,28,SEAM,25,62,LSG,CAPPED,100,,,,,,,
63,Mohsin Khan,IND,26,SEAM,0,24,LSG,UNCAPPED,100,,,,,,,
64,Anuj Rawat,IND,25,WK/BAT,0,24,RCB,UNCAPPED,100,,,,,,,
65,Suryakumar Yadav,IND,34,BAT,83,150,MI,CAPPED,200,,,,,,,
66,Tilak Varma,IND,22,BAT/SPIN,25,38,MI,CAPPED,200,,,,,,,
67,Naman Dhir,IND,25,BAT/SPIN,0,7,MI,UNCAPPED,100,,,,,,,
68,Hardik Pandya,IND,31,BAT/SEAM,114,137,MI,CAPPED,200,,,,,,,
69,Raj Bawa,IND,22,BAT,0,2,PBKS,UNCAPPED,100,,,,,,,
70,Robin Minz,IND,22,WK/BAT,0,0,DNP,UNCAPPED,50,,,,,,,
71,Karn Sharma,IND,37,SPIN,1,84,CSK,UNCAPPED,50,,,,,,,
72,Deepak Chahar,IND,32,SEAM,25,31,CSK,CAPPED,150,,,,,,,
73,Deepak Hooda,IND,29,BAT,21,118,LSG,CAPPED,100,,,,,,,
74,Vijay Shankar,IND,34,BAT/SEAM,9,72,GT,CAPPED,100,,,,,,,
75,Anshul Kamboj,IND,24,BAT/SEAM,0,3,MI,UNCAPPED,50,,,,,,,
76,Kamlesh Nagarkoti,IND,25,BAT/SEAM,0,12,DNP,UNCAPPED,50,,,,,,,
77,Shreyas Gopal,IND,31,BAT/SEAM,0,52,MI,UNCAPPED,50,,,,,,,
78,Mukesh Choudhary,IND,28,SEAM,0,14,CSK,UNCAPPED,50,,,,,,,
79,Gurjapneet Singh,IND,26,SEAM,0,0,DNP,UNCAPPED,50,,,,,,,
80,Khaleel Ahmed,IND,27,SEAM,18,57,RR,CAPPED,50,,,,,,,
81,Nitish Rana,IND,31,BAT,2,107,KKR,CAPPED,100,,,,,,,
82,Dhruv Jurel,IND,24,WK/BAT,4,27,RR,CAPPED,150,,,,,,,
83,Sandeep Sharma,IND,31,SEAM,2,126,RR,UNCAPPED,100,,,,,,,
84,Tushar Deshpande,IND,29,SEAM,2,36,CSK,CAPPED,100,,,,,,,
85,Kumar Kartikeya,IND,27,SPIN,0,12,MI,UNCAPPED,50,,,,,,,
86,Akash Madhwal,IND,31,SEAM,0,13,MI,UNCAPPED,50,,,,,,,
87,Manish Pandey,IND,35,BAT,39,171,DC,CAPPED,100,,,,,,,
88,Angkrish Raghuvanshi,IND,20,BAT,0,10,KKR,UNCAPPED,50,,,,,,,
89,Anukul Roy,IND,26,BAT/SPIN,0,10,KKR,UNCAPPED,50,,,,,,,
