name,role,basePrice,nationality,age,battingStyle,bowlingStyle,image,matches,runs,wickets,average,strikeRate
Virat Kohli,Batsman,150,India,35,Right-hand bat,Right-arm medium,,250,12000,4,52.5,93.2
Rohit Sharma,Batsman,160,India,36,Right-hand bat,Right-arm offbreak,,230,9500,8,48.2,89.5
MS Dhoni,Wicketkeeper,200,India,42,Right-hand bat,Right-arm medium,,250,5000,0,38.5,135.2
Jasprit Bumrah,Bowler,120,India,30,Right-hand bat,Right-arm fast,,120,50,150,24.5,45.2
Ravindra Jadeja,All-rounder,110,India,34,Left-hand bat,Slow left-arm orthodox,,200,2500,120,32.5,125.8
Shikhar Dhawan,Batsman,80,India,37,Left-hand bat,Right-arm offbreak,,180,6500,5,45.2,92.8
Hardik Pandya,All-rounder,110,India,29,Right-hand bat,Right-arm fast-medium,,100,2800,85,29.8,118.5
K L Rahul,Wicketkeeper,140,India,31,Right-hand bat,,150,5800,0,48.5,91.2
Mohammed Shami,Bowler,50,India,33,Right-hand bat,Right-arm fast,,90,150,150,25.2,42.8
Yuzvendra Chahal,Bowler,60,India,33,Right-hand bat,Legbreak googly,,120,200,180,22.8,38.5
Rishabh Pant,Wicketkeeper,160,India,25,Left-hand bat,,80,3200,0,42.5,128.5
Suryakumar Yadav,Batsman,80,India,32,Right-hand bat,Right-arm offbreak,,90,3800,10,41.2,135.8
Ishan Kishan,Wicketkeeper,110,India,24,Left-hand bat,,70,2800,0,38.2,122.5
Sanju Samson,Wicketkeeper,80,India,28,Right-hand bat,,110,4200,0,35.8,118.2
Dinesh Karthik,Wicketkeeper,50,India,37,Right-hand bat,Right-arm offbreak,,220,4200,0,28.5,115.2
Faf du Plessis,Batsman,70,South Africa,38,Right-hand bat,Right-arm legbreak,,150,5500,15,42.8,98.5
David Warner,Batsman,60,Australia,36,Left-hand bat,Right-arm legbreak,,150,6000,5,45.5,95.2
Steve Smith,Batsman,90,Australia,34,Right-hand bat,Right-arm legbreak,,120,4200,5,42.8,89.5
Glenn Maxwell,All-rounder,140,Australia,34,Right-hand bat,Right-arm offbreak,,110,3200,65,38.5,148.2
Pat Cummins,Bowler,200,Australia,29,Right-hand bat,Right-arm fast,,85,800,120,28.5,45.8
Mitchell Starc,Bowler,250,Australia,33,Left-hand bat,Left-arm fast,,110,600,200,25.8,42.2
Josh Hazlewood,Bowler,150,Australia,32,Left-hand bat,Right-arm fast,,70,200,120,24.5,38.8
Marcus Stoinis,All-rounder,90,Australia,33,Right-hand bat,Right-arm medium,,80,2200,45,32.5,112.8
Kane Williamson,Batsman,200,New Zealand,32,Right-hand bat,Right-arm offbreak,,100,3800,5,42.2,88.5
Trent Boult,Bowler,400,New Zealand,33,Right-hand bat,Left-arm fast-medium,,120,400,180,22.8,35.2
Tim Southee,Bowler,150,New Zealand,34,Right-hand bat,Right-arm medium-fast,,150,600,180,25.5,42.8
Ross Taylor,Batsman,100,New Zealand,38,Right-hand bat,Right-arm offbreak,,110,4200,5,38.5,92.2
Martin Guptill,Batsman,80,New Zealand,36,Right-hand bat,Right-arm offbreak,,180,6500,5,42.8,95.5
Lockie Ferguson,Bowler,200,New Zealand,31,Right-hand bat,Right-arm fast,,60,150,85,28.5,48.2
Kyle Jamieson,All-rounder,120,New Zealand,28,Right-hand bat,Right-arm fast-medium,,45,800,45,35.2,88.5
Ben Stokes,All-rounder,250,England,32,Left-hand bat,Right-arm fast-medium,,120,3800,85,38.5,95.2
Joe Root,Batsman,100,England,32,Right-hand bat,Right-arm offbreak,,140,5200,15,45.8,92.5
Jos Buttler,Wicketkeeper,150,England,32,Right-hand bat,,120,4800,0,42.5,118.8
Eoin Morgan,Batsman,60,England,36,Left-hand bat,Right-arm medium,,120,4200,5,38.2,91.5
Chris Woakes,All-rounder,80,England,33,Right-hand bat,Right-arm fast-medium,,110,2200,120,28.5,85.2
Liam Livingstone,All-rounder,110,England,29,Right-hand bat,Right-arm legbreak,,80,1800,35,32.8,112.5
Sam Curran,All-rounder,70,England,24,Left-hand bat,Left-arm medium-fast,,60,1200,45,28.5,98.2
Reece Topley,Bowler,75,England,28,Right-hand bat,Left-arm fast-medium,,50,100,65,25.8,42.5
